m,n,k,count,wall_avg_us,gpu_avg_us,gflops,tflops_wall,tflops_gpu,precision
1,256,1536,50,116.914,109.440,0.000786,0.006727,0.007186,fp16
1,512,1536,50,109.469,106.179,0.001573,0.014368,0.014813,fp16
1,1536,256,50,52.495,40.003,0.000786,0.014981,0.019660,fp16
1,1536,2048,50,672.669,297.528,0.006291,0.009353,0.021146,fp16
1,1536,4096,50,604.939,592.742,0.012583,0.020800,0.021228,fp16
1,1536,6144,50,908.414,885.775,0.018874,0.020777,0.021308,fp16
1,1536,12288,50,1843.370,1772.088,0.037749,0.020478,0.021302,fp16
1,2048,1536,50,648.703,328.325,0.006291,0.009699,0.019162,fp16
1,4096,1536,50,1228.473,596.506,0.012583,0.010243,0.021094,fp16
1,6144,1536,50,899.253,887.649,0.018874,0.020989,0.021263,fp16
1,8960,1536,50,1310.297,1291.587,0.027525,0.021007,0.021311,fp16
1,12288,1536,50,3457.955,3385.042,0.037749,0.010916,0.011152,fp16
4,256,1536,50,86.428,108.073,0.003146,0.036397,0.029107,fp16
4,512,1536,50,157.002,153.907,0.006291,0.040072,0.040878,fp16
4,1536,256,50,81.919,76.800,0.003146,0.038401,0.040960,fp16
4,1536,2048,50,1246.651,588.923,0.025166,0.020187,0.042732,fp16
4,1536,4096,50,1193.429,1177.672,0.050332,0.042174,0.042738,fp16
4,1536,6144,50,1791.353,1769.267,0.075497,0.042145,0.042672,fp16
4,1536,12288,50,3557.406,3533.752,0.150995,0.042445,0.042729,fp16
4,2048,1536,50,1250.728,590.700,0.025166,0.020121,0.042603,fp16
4,4096,1536,50,2518.799,2496.061,0.050332,0.019982,0.020164,fp16
4,6144,1536,50,1795.255,1775.375,0.075497,0.042054,0.042525,fp16
4,8960,1536,50,2583.860,2565.100,0.110100,0.042611,0.042922,fp16
4,12288,1536,50,3043.400,3021.440,0.150995,0.049614,0.049974,fp16
8,256,256,50,33.132,28.047,0.001049,0.031648,0.037386,fp16
8,512,512,50,105.812,108.063,0.004194,0.039639,0.038814,fp16
32,256,256,50,104.293,101.325,0.004194,0.040217,0.041395,fp16
32,512,512,50,619.519,967.332,0.016777,0.027081,0.017344,fp16
32,515,515,50,758.913,946.171,0.016974,0.022367,0.017940,fp16
