sh temp.sh 실행 시 결과는 아래와 같아

memcpy 안하는 방법 없을까? gemm_int4_cl_adreno안에 clCreateBuffer가 문제가 되는 걸 수도 있어

<|im_start|>assistant

[GPU dotQInt] M=437 K=2560 N=4096 | alloc=3.13 kai_copy=1.08 repack=14.80 fp32->fp16=7.01 gemm=49.70 fp16->fp32=3.22 | total=78.94 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.26 repack=0.02 fp32->fp16=0.00 gemm=1.81 fp16->fp32=0.49 | total=2.59 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.28 repack=0.01 fp32->fp16=0.00 gemm=1.76 fp16->fp32=0.11 | total=2.16 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=2.61 kai_copy=0.42 repack=0.03 fp32->fp16=3.29 gemm=5.16 fp16->fp32=0.31 | total=11.82 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=8.23 kai_copy=3.25 repack=0.03 fp32->fp16=1.65 gemm=8.59 fp16->fp32=8.24 | total=29.99 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.68 repack=0.03 fp32->fp16=0.00 gemm=9.22 fp16->fp32=4.36 | total=14.29 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=3.39 kai_copy=0.65 repack=0.04 fp32->fp16=5.38 gemm=9.34 fp16->fp32=0.24 | total=19.05 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.30 repack=0.02 fp32->fp16=1.09 gemm=3.75 fp16->fp32=0.43 | total=5.60 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.16 repack=0.01 fp32->fp16=0.00 gemm=1.77 fp16->fp32=0.09 | total=2.03 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.13 repack=0.01 fp32->fp16=0.00 gemm=1.80 fp16->fp32=0.07 | total=2.01 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.27 repack=0.02 fp32->fp16=1.11 gemm=4.22 fp16->fp32=0.25 | total=5.88 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.61 repack=0.02 fp32->fp16=1.36 gemm=8.32 fp16->fp32=1.08 | total=11.40 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.59 repack=0.02 fp32->fp16=0.00 gemm=9.29 fp16->fp32=1.01 | total=10.91 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.60 repack=0.02 fp32->fp16=2.31 gemm=9.27 fp16->fp32=0.22 | total=12.43 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.31 repack=0.02 fp32->fp16=1.18 gemm=3.84 fp16->fp32=0.40 | total=5.74 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.12 repack=0.02 fp32->fp16=0.00 gemm=1.72 fp16->fp32=0.09 | total=1.95 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.11 repack=0.01 fp32->fp16=0.00 gemm=1.75 fp16->fp32=0.07 | total=1.94 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.26 repack=0.02 fp32->fp16=1.13 gemm=4.15 fp16->fp32=0.23 | total=5.80 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.60 repack=0.02 fp32->fp16=1.35 gemm=8.28 fp16->fp32=1.07 | total=11.32 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.59 repack=0.02 fp32->fp16=0.00 gemm=9.21 fp16->fp32=1.02 | total=10.83 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.60 repack=0.02 fp32->fp16=2.31 gemm=9.28 fp16->fp32=0.23 | total=12.45 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.28 repack=0.02 fp32->fp16=1.14 gemm=3.83 fp16->fp32=0.81 | total=6.10 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.13 repack=0.04 fp32->fp16=0.00 gemm=1.72 fp16->fp32=0.20 | total=2.08 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.12 repack=0.02 fp32->fp16=0.00 gemm=1.69 fp16->fp32=0.20 | total=2.04 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.28 repack=0.03 fp32->fp16=1.16 gemm=4.11 fp16->fp32=0.24 | total=5.83 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.61 repack=0.02 fp32->fp16=1.33 gemm=8.36 fp16->fp32=1.07 | total=11.39 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.70 repack=0.01 fp32->fp16=0.00 gemm=9.37 fp16->fp32=4.61 | total=14.71 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=3.01 repack=0.08 fp32->fp16=3.86 gemm=9.55 fp16->fp32=0.80 | total=17.29 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.58 repack=0.04 fp32->fp16=2.04 gemm=4.00 fp16->fp32=3.06 | total=9.73 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.01 kai_copy=0.20 repack=0.04 fp32->fp16=0.00 gemm=1.81 fp16->fp32=0.08 | total=2.14 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.14 repack=0.01 fp32->fp16=0.00 gemm=1.77 fp16->fp32=0.07 | total=1.99 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.28 repack=0.02 fp32->fp16=1.36 gemm=6.13 fp16->fp32=0.19 | total=7.99 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.61 repack=0.05 fp32->fp16=1.31 gemm=8.48 fp16->fp32=3.02 | total=13.48 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.24 repack=0.03 fp32->fp16=0.00 gemm=9.28 fp16->fp32=2.55 | total=13.09 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.84 repack=0.02 fp32->fp16=3.99 gemm=9.36 fp16->fp32=0.45 | total=14.66 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.35 repack=0.02 fp32->fp16=1.53 gemm=3.84 fp16->fp32=1.25 | total=6.99 ms
