m,n,k,count,min_us,avg_us,p50_us,p95_us,max_us,gflops,tflops_min,tflops_avg,kernel_name,kernel_avg_us
1,256,1536,50,586.511,718.919,718.75,850.313,888.906,0.000786432,0.00134086,0.00109391,"fully_connected_int8",8.14
1,512,1536,50,871.302,1162.37,983.75,1822.5,1972.5,0.00157286,0.00180519,0.00135316,"fully_connected_int8",16.66
1,1536,256,50,1718.28,1920.18,1916.72,2057.66,2466.82,0.000786432,0.000457685,0.000409563,"fully_connected_int8",13.76
1,1536,2048,50,648.125,795.759,695.781,1331.15,1838.91,0.00629146,0.00970716,0.00790623,"fully_connected_int8",49.08
1,1536,4096,50,721.719,860.045,759.635,1412.14,2379.06,0.0125829,0.0174346,0.0146305,"fully_connected_int8",96.52
1,1536,6144,50,810.989,891.032,872.188,927.292,1434.84,0.0188744,0.0232733,0.0211826,"fully_connected_int8",150.9
1,1536,12288,50,1064.32,1362.31,1197.97,2093.65,2459.69,0.0377487,0.0354674,0.0277093,"fully_connected_int8",308.6
1,2048,1536,50,591.875,678.602,640.156,821.875,838.594,0.00629146,0.0106297,0.0092712,"fully_connected_int8",47.4
1,4096,1536,50,707.343,898.136,807.239,1152.71,1160.52,0.0125829,0.017789,0.01401,"fully_connected_int8",92.34
1,6144,1536,50,792.656,1252.73,917.865,2216.35,2295.62,0.0188744,0.0238116,0.0150666,"fully_connected_int8",138.58
1,8960,1536,50,897.5,1068.09,1033.59,1399.69,1724.01,0.0275251,0.0306687,0.0257704,"fully_connected_int8",197.62
1,12288,1536,50,1029.79,2003.18,2261.61,2551.61,3003.8,0.0377487,0.0366567,0.0188444,"fully_connected_int8",266.62
1,262144,1536,50,13017.9,13272.9,13200.4,13578.6,14143.8,0.805306,0.0618614,0.0606731,"fully_connected_int8",6144.4
4,256,1536,50,470.468,514.406,510.937,562.188,601.822,0.00314573,0.00668638,0.00611526,"fully_connected_int8",11.84
4,512,1536,50,576.146,619.937,618.229,646.459,662.136,0.00629146,0.0109199,0.0101485,"fully_connected_int8",17.38
